adres,aanvraag_publ,besluit_publ,besluit,dagen
mr. p.n. arntzeniusweg 108-1 1098gt amsterdam,2026-01-09,2026-01-12,verleend,3
omval 123 1096aa amsterdam,2026-01-09,2026-01-20,verleend,11
middenweg 30-1 1097bn amsterdam,2026-01-09,2026-01-28,verleend,19
bogortuin 25 1019pe amsterdam,2026-01-09,2026-01-12,verleend,3
eerste oosterparkstraat 133a 1091gz amsterdam,2026-01-09,2026-01-19,verleend,10
zacharias jansestraat 1-3 1097ch amsterdam,2026-01-09,2026-01-26,verleend,17
carolina macgillavrylaan 498 1098xb amsterdam,2026-01-09,2026-01-27,verleend,18
zeeburgerkade 320 1019hn amsterdam,2026-01-09,2026-01-27,verleend,18
knsm-laan 641 1019lh amsterdam,2026-01-09,2026-01-19,verleend,10
zeeburgerkade 456 1019hp amsterdam,2026-01-12,2026-01-29,verleend,17
cas oorthuyskade 314 1087dp amsterdam,2026-01-12,2026-01-27,verleend,15
geschutswerf 79 1018aw amsterdam,2026-01-12,2026-01-12,verleend,0
rademakerstraat 638 1096gs amsterdam,2026-01-14,2026-03-06,verleend,51
oostelijke handelskade 1197 1019dn amsterdam,2026-01-14,2026-01-29,verleend,15
panamalaan 20 1019az amsterdam,2026-01-14,2026-01-29,verleend,15
madurastraat 54-3 1094gp amsterdam,2026-01-14,2026-01-29,verleend,15
bella vistastraat 268 1096gm amsterdam,2026-01-14,2026-01-27,verleend,13
pieter oosterhuisstraat 28 1087ht amsterdam,2026-01-14,2026-02-05,verleend,22
welnastraat 519 1096gj amsterdam,2026-01-14,2026-02-18,verleend,35
laurierstraat 66-2 1016pn amsterdam,2026-01-15,2026-01-15,verleend,0
eerste amstelvlietpad 21 1096gb amsterdam,2026-01-15,2026-01-29,verleend,14
eerste amstelvlietpad 40 1096gb amsterdam,2026-01-15,2026-02-03,verleend,19
oudezijds voorburgwal 302a 1012gl amsterdam,2026-01-15,2026-01-15,verleend,0
oudezijds voorburgwal 310b 1012gl amsterdam,2026-01-15,2026-01-15,verleend,0
veembroederhof 172 1019hc amsterdam,2026-01-15,2026-02-18,verleend,34
venetiëhof 40 1019na amsterdam,2026-01-16,2026-01-27,verleend,11
heintje hoekssteeg 29 1012gr amsterdam,2026-01-16,2026-01-16,verleend,0
isaac titsinghkade 2a-3 1018ca amsterdam,2026-01-16,2026-01-19,verleend,3
bella vistastraat 256 1096gm amsterdam,2026-01-19,2026-03-09,verleend,49
looiersgracht 95 1016wc amsterdam,2026-01-19,2026-01-19,verleend,0
keizersgracht 335-3 1016eg amsterdam,2026-01-19,2026-01-29,verleend,10
oranje-vrijstaatkade 27 1093ks amsterdam,2026-01-19,2026-01-27,verleend,8
meerluchtlaan 18 1096da amsterdam,2026-01-19,2026-02-05,verleend,17
rapenburg 41-2 1011tv amsterdam,2026-01-19,2026-01-19,verleend,0
keizersgracht 77c 1015ce amsterdam,2026-01-19,2026-01-19,verleend,0
oudeschans 72f 1011le amsterdam,2026-01-19,2026-01-19,verleend,0
haringbuisdijk 493 1086va amsterdam,2026-01-20,2026-03-10,verleend,49
veemkade 272 1019hd amsterdam,2026-01-20,2026-02-06,verleend,17
blasiusstraat 113-1 1091cp amsterdam,2026-01-21,2026-02-12,verleend,22
bloemgracht 146a 1015ts amsterdam,2026-01-21,2026-01-22,verleend,1
rozenstraat 76b 1016nx amsterdam,2026-01-22,2026-01-22,verleend,0
jozef israëlskade 36d 1072rx amsterdam,2026-01-23,2026-02-17,besluit_overig,25
gerrit van der veenstraat 86-3 1077el amsterdam,2026-01-23,2026-02-23,besluit_overig,31
de lairessestraat 17a 1071nr amsterdam,2026-01-23,2026-04-17,verleend,84
beethovenstraat 38-3 1077jj amsterdam,2026-01-23,2026-02-26,besluit_overig,34
valeriusstraat 127-2 1075es amsterdam,2026-01-23,2026-02-10,besluit_overig,18
cornelis schuytstraat 7-1 1071jc amsterdam,2026-01-23,2026-02-17,verleend,25
van eeghenstraat 165-1 1071gc amsterdam,2026-01-23,2026-02-10,besluit_overig,18
dora tamanaplein 59 1074jl amsterdam,2026-01-23,2026-02-17,besluit_overig,25
kastelenstraat 99-1 1082ea amsterdam,2026-01-23,2026-03-05,besluit_overig,41
prinseneiland 469 1013lp amsterdam,2026-01-23,2026-01-26,verleend,3
c. van eesterenlaan 416 1019ke amsterdam,2026-01-23,2026-03-10,verleend,46
apollolaan 193f 1077aw amsterdam,2026-01-23,2026-02-23,besluit_overig,31
frans van mierisstraat 30-2 1071rt amsterdam,2026-01-23,2026-02-24,besluit_overig,32
frans van mierisstraat 131-2 1071rr amsterdam,2026-01-23,2026-02-17,besluit_overig,25
stadionkade 14-3 1077vj amsterdam,2026-01-23,2026-02-24,besluit_overig,32
blasiusstraat 70a 1091cw amsterdam,2026-01-23,2026-01-27,verleend,4
westlandgracht 223-2 1059tp amsterdam,2026-01-23,2026-03-05,besluit_overig,41
joh.m. coenenstraat 56 1071wh amsterdam,2026-01-23,2026-02-10,besluit_overig,18
henrick de keijserplein 10-1 1073sx amsterdam,2026-01-23,2026-02-17,besluit_overig,25
rondeel 54 1083me amsterdam,2026-01-23,2026-02-26,besluit_overig,34
amsteldijk 37c 1074hv amsterdam,2026-01-23,2026-02-23,besluit_overig,31
keizersgracht 18f 1015cp amsterdam,2026-01-23,2026-01-23,verleend,0
nieuwe keizersgracht 22c 1018ds amsterdam,2026-01-26,2026-01-26,verleend,0
johan jongkindstraat 154 1062dk amsterdam,2026-01-26,2026-02-20,verleend,25
keizersgracht 389g 1016ej amsterdam,2026-01-26,2026-01-29,verleend,3
omval 48 1096hv amsterdam,2026-01-27,2026-02-12,verleend,16
herengracht 187d 1016be amsterdam,2026-01-28,2026-01-28,verleend,0
bogortuin 77 1019pe amsterdam,2026-01-28,2026-02-19,verleend,22
bertrand russellstraat 90 1097hl amsterdam,2026-01-28,2026-03-10,verleend,41
geschutswerf 13 1018aw amsterdam,2026-01-28,2026-01-28,verleend,0
bella vistastraat 210 1096gm amsterdam,2026-01-28,2026-03-10,verleend,41
nieuwezijds kolk 7a 1012pv amsterdam,2026-01-28,2026-01-28,verleend,0
de boelelaan 389 1082rh amsterdam,2026-01-29,2026-03-19,verleend,49
bloemgracht 128-3 1015tp amsterdam,2026-01-29,2026-01-29,verleend,0
johannes verhulststraat 187-2 1075gz amsterdam,2026-01-29,2026-03-12,besluit_overig,42
courbetstraat 12-2 1077zt amsterdam,2026-01-29,2026-03-19,verleend,49
soesterberghof 26 1107gn amsterdam,2026-01-29,2026-02-18,verleend,20
dina appeldoornstraat 3-1 1076aw amsterdam,2026-01-29,2026-03-24,besluit_overig,54
pieter cornelisz. hooftstraat 88-2 1071cb amsterdam,2026-01-29,2026-02-06,verleend,8
banstraat 38 1071ka amsterdam,2026-01-29,2026-04-02,verleend,63
pieter cornelisz. hooftstraat 175b 1071bw amsterdam,2026-01-29,2026-03-19,verleend,49
reguliersgracht 4 1017lr amsterdam,2026-01-29,2026-01-29,verleend,0
eerste jan van der heijdenstraat 20-3 1072tt amsterdam,2026-01-29,2026-02-24,besluit_overig,26
kerkstraat 81-1 1017gc amsterdam,2026-01-29,2026-01-29,verleend,0
lijnbaansgracht 210k 1016xa amsterdam,2026-01-29,2026-01-29,verleend,0
frans halsstraat 86-h 1072bw amsterdam,2026-01-29,2026-03-16,verleend,46
daniël stalpertstraat 41f 1072xa amsterdam,2026-01-29,2026-03-16,verleend,46
van breestraat 99-1 1071zj amsterdam,2026-01-29,2026-03-19,verleend,49
minervalaan 89-2 1077nt amsterdam,2026-01-29,2026-03-09,verleend,39
sarphatipark 5-2 1073cn amsterdam,2026-01-29,2026-03-16,verleend,46
kerkstraat 81-h 1017gc amsterdam,2026-01-29,2026-01-29,verleend,0
hoogte kadijk 125-3 1018bh amsterdam,2026-01-29,2026-01-29,verleend,0
valeriusstraat 46-2 1071mk amsterdam,2026-01-29,2026-03-09,besluit_overig,39
marnixstraat 233-3r 1015we amsterdam,2026-01-29,2026-01-29,verleend,0
saxen-weimarlaan 28-4 1075cc amsterdam,2026-01-29,2026-03-12,besluit_overig,42
johannes vermeerstraat 50-3 1071dt amsterdam,2026-01-29,2026-03-05,verleend,35
pieter pauwstraat 8-2 1017zj amsterdam,2026-01-29,2026-01-29,verleend,0
waalstraat 54-1 1078bx amsterdam,2026-01-29,2026-03-19,verleend,49
herengracht 46g 1015bn amsterdam,2026-01-30,2026-01-30,verleend,0
raamgracht 17c 1011kj amsterdam,2026-01-30,2026-01-30,verleend,0
utrechtsedwarsstraat 172 1017wk amsterdam,2026-01-30,2026-01-30,verleend,0
rozengracht 2c 1016nb amsterdam,2026-01-30,2026-01-30,verleend,0
raamgracht 17b 1011kj amsterdam,2026-01-30,2026-01-30,verleend,0
hortusplantsoen 14-h 1018tz amsterdam,2026-01-30,2026-01-30,verleend,0
nieuwmarkt 38b 1012cs amsterdam,2026-01-30,2026-01-30,verleend,0
brouwersgracht 118c 1013ha amsterdam,2026-01-30,2026-01-30,verleend,0
weteringschans 223-1 1017xh amsterdam,2026-01-30,2026-01-30,verleend,0
kerkstraat 81-3 1017gc amsterdam,2026-01-30,2026-01-30,verleend,0
westerstraat 264-3 1015mt amsterdam,2026-01-30,2026-01-30,verleend,0
groenburgwal 61-1 1011ht amsterdam,2026-01-30,2026-01-30,verleend,0
funenpark 494 1018ak amsterdam,2026-02-02,2026-02-02,verleend,0
oudezijds voorburgwal 217g 1012ex amsterdam,2026-02-02,2026-02-02,verleend,0
cruquiusweg 101m 1019ag amsterdam,2026-02-02,2026-02-23,verleend,21
prinsengracht 284f 1016hj amsterdam,2026-02-02,2026-02-02,verleend,0
willem frederik hermansstraat 27 1011dg amsterdam,2026-02-02,2026-02-02,verleend,0
palmgracht 10f 1015hm amsterdam,2026-02-02,2026-02-02,verleend,0
brouwersgracht 208c 1013hd amsterdam,2026-02-02,2026-02-02,verleend,0
prinsengracht 359e 1016hk amsterdam,2026-02-02,2026-02-02,verleend,0
hazenstraat 56d 1016sr amsterdam,2026-02-04,2026-02-04,verleend,0
prinsengracht 759 1017jz amsterdam,2026-02-04,2026-02-04,verleend,0
nieuwe uilenburgerstraat 19b 1011lm amsterdam,2026-02-04,2026-02-04,verleend,0
recht boomssloot 14b 1011ea amsterdam,2026-02-04,2026-02-04,verleend,0
keizersgracht 674b 1017et amsterdam,2026-02-04,2026-02-04,verleend,0
eerste amstelvlietpad 60 1096gb amsterdam,2026-02-05,2026-02-18,verleend,13
van ostadestraat 199-2 1073tm amsterdam,2026-02-05,2026-02-05,verleend,0
oostelijke handelskade 1127 1019dn amsterdam,2026-02-05,2026-03-10,verleend,33
bella vistastraat 200 1096gm amsterdam,2026-02-05,2026-03-10,verleend,33
nieuwe teertuinen 13d 1013lv amsterdam,2026-02-05,2026-03-16,verleend,39
nieuwezijds voorburgwal 308b 1012rv amsterdam,2026-02-05,2026-02-05,verleend,0
omval 147 1096aa amsterdam,2026-02-05,2026-03-10,verleend,33
gustav mahlerlaan 363 1082mk amsterdam,2026-02-05,2026-02-05,verleend,0
papaverhof 16c 1032lx amsterdam,2026-02-06,2026-02-18,verleend,12
anjeliersstraat 69a 1015nd amsterdam,2026-02-06,2026-02-06,verleend,0
keizersgracht 133a 1015cj amsterdam,2026-02-06,2026-02-06,verleend,0
egelantiersgracht 324 1015rr amsterdam,2026-02-06,2026-02-06,verleend,0
sarphatipark 127-3 1073cx amsterdam,2026-02-06,2026-03-20,verleend,42
singel 54g 1015ab amsterdam,2026-02-06,2026-02-06,verleend,0
binnenkant 20b 1011bh amsterdam,2026-02-06,2026-02-06,verleend,0
ridderspoorweg 166 1032ll amsterdam,2026-02-06,2026-02-18,verleend,12
nieuwe achtergracht 4g 1018xx amsterdam,2026-02-06,2026-02-06,verleend,0
hekelveld 3-1 1012sn amsterdam,2026-02-06,2026-02-06,verleend,0
vijfde vogelstraat 11 1022xd amsterdam,2026-02-06,2026-03-04,verleend,26
sausalitolaan 116 1031ke amsterdam,2026-02-06,2026-02-20,verleend,14
knsm-laan 587 1019ld amsterdam,2026-02-06,2026-03-16,verleend,38
utrechtsedwarsstraat 152-h 1017wk amsterdam,2026-02-06,2026-02-06,verleend,0
ruysdaelstraat 108d 1071xh amsterdam,2026-02-06,2026-02-06,verleend,0
keizersgracht 682a 1017et amsterdam,2026-02-06,2026-02-06,verleend,0
raamgracht 4f 1011kk amsterdam,2026-02-06,2026-02-06,verleend,0
brouwersgracht 41d 1015gb amsterdam,2026-02-06,2026-02-06,verleend,0
oude braak 25l 1012ps amsterdam,2026-02-06,2026-02-06,verleend,0
leidsegracht 86b 1016cr amsterdam,2026-02-06,2026-02-06,verleend,0
geschutswerf 23 1018aw amsterdam,2026-02-06,2026-02-06,verleend,0
leidsegracht 2 1016ck amsterdam,2026-02-06,2026-02-06,verleend,0
prinsengracht 1033f 1017kp amsterdam,2026-02-09,2026-02-09,verleend,0
keizersgracht 172 1015cz amsterdam,2026-02-09,2026-02-16,verleend,7
utrechtsedwarsstraat 48r 1017wg amsterdam,2026-02-09,2026-02-09,verleend,0
haarlemmer houttuinen 31e 1013gl amsterdam,2026-02-09,2026-02-16,verleend,7
van breestraat 117c 1071zk amsterdam,2026-02-10,2026-02-12,verleend,2
commelinstraat 4-2 1093tr amsterdam,2026-02-10,2026-03-02,verleend,20
van eeghenstraat 23-h 1071et amsterdam,2026-02-10,2026-02-12,verleend,2
leiduinstraat 44-h 1058sl amsterdam,2026-02-10,2026-02-11,verleend,1
slaakstraat 8-1 1078bd amsterdam,2026-02-10,2026-03-19,verleend,37
zuidelijke wandelweg 165 1079rk amsterdam,2026-02-10,2026-02-11,verleend,1
schokkerspad 41 1081ks amsterdam,2026-02-10,2026-02-11,verleend,1
bankwerkerij 1 1021ns amsterdam,2026-02-11,2026-03-04,verleend,21
's-gravesandestraat 64 1091de amsterdam,2026-02-11,2026-03-16,verleend,33
mr. p.n. arntzeniusweg 1-2 1098gj amsterdam,2026-02-11,2026-03-09,verleend,26
herengracht 310d 1016cd amsterdam,2026-02-11,2026-02-16,geweigerd,5
churchill-laan 137-1 1078dr amsterdam,2026-02-11,2026-03-26,verleend,43
kerkstraat 112 1017gp amsterdam,2026-02-12,2026-02-12,verleend,0
omval 13 1096aa amsterdam,2026-02-12,2026-03-12,verleend,28
eerste laurierdwarsstraat 24-h 1016pz amsterdam,2026-02-12,2026-02-12,verleend,0
passeerdersgracht 34-1 1016xh amsterdam,2026-02-12,2026-02-12,verleend,0
brouwersgracht 70-3 1013gx amsterdam,2026-02-12,2026-02-12,verleend,0
prinsengracht 349k 1016hk amsterdam,2026-02-13,2026-02-13,verleend,0
